# Separated Correlation Matrices for Cyber Risk Model (Unique NAICS Codes),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
## 1. Correlation Matrix: Between Events,,,,,,,,,,,,,,,,,,,,,,,,
"# Captures dependencies between cyber events based on shared attack vectors, vulnerabilities, and NAICS code overlap.",,,,,,,,,,,,,,,,,,,,,,,,
"# Events: PHV.01 (Phishing-Enabled Breach), RN.01 (Ransomware), SC.01 (Supply Chain Compromise), CP.01 (Cyber-Physical Disruption), QC.01 (Quantum Computing Crypto Break), AI.01 (AI-Driven Deepfake Fraud), BE.01 (Data Breach).",,,,,,,,,,,,,,,,,,,,,,,,
"# Format: (Lower Bound, Upper Bound)",,,,,,,,,,,,,,,,,,,,,,,,
, Event   ,PHV.01,RN.01,SC.01,CP.01,QC.01,AI.01,BE.01,,,,,,,,,,,,,,,,
,---------,------------,------------,------------,------------,------------,------------,------------,,,,,,,,,,,,,,,,
,PHV.01,"(1.0, 1.0)","(0.4, 0.6)","(0.2, 0.3)","(0.2, 0.3)","(0.1, 0.2)","(0.3, 0.5)","(0.4, 0.6)",,,,,,,,,,,,,,,,
,RN.01,"(0.4, 0.6)","(1.0, 1.0)","(0.3, 0.4)","(0.3, 0.4)","(0.1, 0.2)","(0.2, 0.3)","(0.3, 0.5)",,,,,,,,,,,,,,,,
,SC.01,"(0.2, 0.3)","(0.3, 0.4)","(1.0, 1.0)","(0.4, 0.6)","(0.2, 0.3)","(0.2, 0.3)","(0.2, 0.3)",,,,,,,,,,,,,,,,
,CP.01,"(0.2, 0.3)","(0.3, 0.4)","(0.4, 0.6)","(1.0, 1.0)","(0.2, 0.3)","(0.2, 0.3)","(0.2, 0.3)",,,,,,,,,,,,,,,,
,QC.01,"(0.1, 0.2)","(0.1, 0.2)","(0.2, 0.3)","(0.2, 0.3)","(1.0, 1.0)","(0.1, 0.2)","(0.1, 0.2)",,,,,,,,,,,,,,,,
,AI.01,"(0.3, 0.5)","(0.2, 0.3)","(0.2, 0.3)","(0.2, 0.3)","(0.1, 0.2)","(1.0, 1.0)","(0.2, 0.3)",,,,,,,,,,,,,,,,
,BE.01,"(0.4, 0.6)","(0.3, 0.5)","(0.2, 0.3)","(0.2, 0.3)","(0.1, 0.2)","(0.2, 0.3)","(1.0, 1.0)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
## 2. Correlation Matrix: Between Services for the Same Event,,,,,,,,,,,,,,,,,,,,,,,,
# Captures dependencies between remedial services within a single event.,,,,,,,,,,,,,,,,,,,,,,,,
"# Services: Forensics, Legal Support, Negotiation, Recovery.",,,,,,,,,,,,,,,,,,,,,,,,
"# Format: (Lower Bound, Upper Bound)",,,,,,,,,,,,,,,,,,,,,,,,
# Note: Consistent across events due to similar service descriptions and uptake probabilities.,,,,,,,,,,,,,,,,,,,,,,,,
, Service       ,Forensics,Legal Support,Negotiation,Recovery,,,,,,,,,,,,,,,,,,,
,---------------,---------------,---------------,---------------,---------------,,,,,,,,,,,,,,,,,,,
,Forensics,"(1.0, 1.0)","(0.4, 0.6)","(0.4, 0.6)","(0.7, 0.9)",,,,,,,,,,,,,,,,,,,
,Legal Support,"(0.4, 0.6)","(1.0, 1.0)","(0.8, 0.95)","(0.3, 0.5)",,,,,,,,,,,,,,,,,,,
,Negotiation,"(0.4, 0.6)","(0.8, 0.95)","(1.0, 1.0)","(0.3, 0.5)",,,,,,,,,,,,,,,,,,,
,Recovery,"(0.7, 0.9)","(0.3, 0.5)","(0.3, 0.5)","(1.0, 1.0)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
## 3. Correlation Matrix: Across NAICS Codes,,,,,,,,,,,,,,,,,,,,,,,,
# Captures dependencies for event-service pairs across unique NAICS codes.,,,,,,,,,,,,,,,,,,,,,,,,
"# NAICS codes: 11 (Agriculture), 21 (Mining), 22 (Utilities), 23 (Construction), 31 (Food Manufacturing), 32 (Other Manufacturing), 33 (Other Manufacturing), 42 (Wholesale Trade), 44 (Retail Trade), 45 (Retail Trade), 48 (Transportation), 49 (Warehousing), 51 (Information), 52 (Finance and Insurance), 53 (Real Estate), 54 (Professional Services), 56 (Administrative Services), 61 (Educational Services), 62 (Health Care), 71 (Arts, Entertainment), 72 (Accommodation and Food Services), 81 (Other Services), 92 (Public Administration).",,,,,,,,,,,,,,,,,,,,,,,,
"# Format: (Lower Bound, Upper Bound)",,,,,,,,,,,,,,,,,,,,,,,,
, NAICS ,11,21,22,23,31,32,33,42,44,45,48,49,51,52,53,54,56,61,62,71,72,81,92
,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
,11,"(1.0, 1.0)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)"
,21,"(0.2, 0.4)","(1.0, 1.0)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)"
,22,"(0.2, 0.4)","(0.3, 0.5)","(1.0, 1.0)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.4, 0.6)","(0.4, 0.6)","(0.4, 0.6)","(0.4, 0.6)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)"
,23,"(0.2, 0.4)","(0.3, 0.5)","(0.3, 0.5)","(1.0, 1.0)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)"
,31,"(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(1.0, 1.0)","(0.5, 0.7)","(0.5, 0.7)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)"
,32,"(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.5, 0.7)","(1.0, 1.0)","(0.5, 0.7)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)"
,33,"(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.5, 0.7)","(0.5, 0.7)","(1.0, 1.0)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)"
,42,"(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(1.0, 1.0)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)"
,44,"(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(1.0, 1.0)","(0.6, 0.8)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)"
,45,"(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.6, 0.8)","(1.0, 1.0)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)"
,48,"(0.3, 0.5)","(0.3, 0.5)","(0.4, 0.6)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(1.0, 1.0)","(0.6, 0.8)","(0.4, 0.6)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)"
,49,"(0.3, 0.5)","(0.3, 0.5)","(0.4, 0.6)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.6, 0.8)","(1.0, 1.0)","(0.4, 0.6)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)"
,51,"(0.3, 0.5)","(0.3, 0.5)","(0.4, 0.6)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.4, 0.6)","(0.4, 0.6)","(1.0, 1.0)","(0.5, 0.7)","(0.3, 0.5)","(0.4, 0.6)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)"
,52,"(0.3, 0.5)","(0.3, 0.5)","(0.4, 0.6)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.5, 0.7)","(1.0, 1.0)","(0.3, 0.5)","(0.4, 0.6)","(0.3, 0.5)","(0.3, 0.5)","(0.4, 0.6)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)"
,53,"(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(1.0, 1.0)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)"
,54,"(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.4, 0.6)","(0.4, 0.6)","(0.3, 0.5)","(1.0, 1.0)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)"
,56,"(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(1.0, 1.0)","(0.2, 0.4)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)"
,61,"(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)","(0.3, 0.5)","(0.2, 0.4)","(1.0, 1.0)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)"
,62,"(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.4, 0.6)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(0.3, 0.5)","(1.0, 1.0)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)"
,71,"(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)","(0.2, 0.4)","(1.0, 1.0)","(0.3, 0.5)","(0.2, 0.4)","(0.2, 0.4)"
